"Group.1","Group.2","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"Yes","1949-Q1",1,1,1,NA
"No","1952-Q2",NA,NA,0,NA
"No","1952-Q4",1,NA,NA,NA
"No","1953-Q1",NA,NA,NA,NA
"No","1953-Q2",NA,NA,1,NA
"No","1953-Q3",0.2,NA,NA,NA
"No","1954-Q1",NA,NA,NA,NA
"No","1954-Q2",NA,NA,NA,NA
"No","1954-Q3",NA,NA,NA,NA
"No","1954-Q4",1,-1,0.5,NA
"No","1955-Q1",1,NA,1,NA
"No","1955-Q2",1,1,1,-1
"No","1955-Q3",NA,NA,0.6,NA
"No","1955-Q4",1,1,NA,NA
"No","1956-Q1",1,1,1,NA
"Yes","1956-Q1",NA,NA,NA,NA
"No","1956-Q2",1,-1,0.578947368421053,-1
"No","1956-Q3",1,0,1,NA
"Yes","1956-Q3",0,NA,NA,NA
"No","1956-Q4",0.666666666666667,-1,-1,NA
"Yes","1956-Q4",NA,NA,NA,NA
"No","1957-Q1",0.282051282051282,0,1,1
"No","1957-Q2",0.875,-0.583333333333333,0.428571428571429,1
"Yes","1957-Q2",1,NA,0.333333333333333,1
"No","1957-Q3",0.333333333333333,NA,0.5,1
"Yes","1957-Q3",1,NA,0,-1
"No","1957-Q4",0.458333333333333,0.0666666666666666,0.75,NA
"Yes","1957-Q4",1,1,0,-1
"No","1958-Q1",NA,0,1,NA
"Yes","1958-Q1",NA,NA,NA,NA
"No","1958-Q2",1,1,1,1
"Yes","1958-Q2",0.904761904761905,NA,-0.111111111111111,NA
"No","1958-Q3",NA,NA,NA,1
"No","1958-Q4",0.5,0.777777777777778,1,1
"No","1959-Q1",1,0.333333333333333,0.1875,NA
"Yes","1959-Q1",0.222222222222222,NA,NA,NA
"No","1959-Q2",1,1,0.333333333333333,1
"Yes","1959-Q2",-0.333333333333333,NA,1,NA
"No","1959-Q3",1,1,0,-1
"Yes","1959-Q3",NA,NA,1,1
"No","1959-Q4",1,-1,-1,NA
"Yes","1959-Q4",1,NA,NA,NA
"No","1960-Q1",1,-1,1,NA
"Yes","1960-Q1",1,NA,1,NA
"No","1960-Q2",1,NA,1,1
"Yes","1960-Q2",1,NA,-1,NA
"No","1960-Q4",NA,1,1,NA
"Yes","1960-Q4",NA,NA,NA,NA
"No","1961-Q1",1,NA,1,0
"Yes","1961-Q1",NA,NA,1,NA
"No","1961-Q2",1,NA,1,NA
"Yes","1961-Q2",1,1,1,NA
"No","1961-Q3",NA,-1,NA,-1
"Yes","1961-Q3",NA,NA,NA,NA
"No","1961-Q4",1,0,1,NA
"Yes","1961-Q4",1,NA,1,-1
"No","1962-Q1",1,1,1,0
"Yes","1962-Q1",1,1,0.333333333333333,NA
"No","1962-Q2",1,-1,0,-1
"Yes","1962-Q2",1,NA,1,NA
"No","1962-Q3",1,-0.333333333333333,0.5,1
"Yes","1962-Q3",0.444444444444444,1,1,0
"No","1962-Q4",1,-0.333333333333333,NA,NA
"Yes","1962-Q4",1,1,1,0.166666666666666
"No","1963-Q1",NA,1,1,NA
"Yes","1963-Q1",NA,0,1,1
"No","1963-Q2",1,0,0.333333333333333,NA
"Yes","1963-Q2",0.904761904761905,1,0.666666666666667,-0.6
"No","1963-Q3",-0.4,1,NA,-1
"Yes","1963-Q3",0.8,NA,1,NA
"No","1963-Q4",0,1,-1,0
"Yes","1963-Q4",NA,NA,NA,0
"No","1964-Q1",1,-1,1,-1
"Yes","1964-Q1",1,-1,NA,1
"No","1964-Q2",NA,NA,-1,NA
"Yes","1964-Q2",NA,NA,NA,0
"No","1964-Q3",NA,1,NA,0
"Yes","1964-Q3",NA,NA,NA,NA
"No","1964-Q4",1,-0.5,1,-1
"Yes","1964-Q4",NA,NA,NA,NA
"No","1965-Q1",1,NA,0.4,1
"Yes","1965-Q1",NA,NA,NA,NA
"No","1965-Q2",1,NA,-0.2,NA
"Yes","1965-Q2",NA,NA,NA,NA
"No","1965-Q3",NA,1,1,NA
"Yes","1965-Q3",1,NA,NA,NA
"No","1965-Q4",0.333333333333333,0.75,1,0
"Yes","1965-Q4",0.333333333333333,1,1,NA
"No","1966-Q1",0.444444444444444,1,1,-0.5
"Yes","1966-Q1",1,NA,NA,-1
"No","1966-Q2",-0.111111111111111,1,0.62962962962963,0
"Yes","1966-Q2",NA,NA,NA,NA
"No","1966-Q3",-1,1,0.34,1
"Yes","1966-Q3",-1,1,0.375,1
"No","1966-Q4",0.846153846153846,0.8,0.791666666666667,-0.2
"Yes","1966-Q4",0.333333333333333,1,0,NA
"No","1967-Q1",NA,NA,-0.2,-1
"Yes","1967-Q1",0.333333333333333,1,1,0.444444444444444
"No","1967-Q2",1,0.666666666666667,0.857142857142857,1
"Yes","1967-Q2",1,1,1,0.333333333333333
"No","1967-Q3",0.333333333333333,0.6,0,-1
"Yes","1967-Q3",1,1,NA,1
"No","1967-Q4",-0.111111111111111,-1,0.266666666666667,NA
"Yes","1967-Q4",1,0.5,0,-1
"No","1968-Q1",1,1,-1,-0.333333333333333
"Yes","1968-Q1",0.25,1,0.111111111111111,-1
"No","1968-Q2",0.611111111111111,1,-0.0408163265306123,-0.875
"Yes","1968-Q2",1,1,NA,-0.333333333333333
"No","1968-Q3",0.355555555555555,0.666666666666667,-0.428571428571429,1
"Yes","1968-Q3",1,1,1,-0.5
"No","1968-Q4",1,-1,-0.523809523809524,NA
"Yes","1968-Q4",NA,0.333333333333333,-1,1
"No","1969-Q1",0.5,1,0.75,0.409523809523809
"Yes","1969-Q1",-0.666666666666667,1,1,1
"No","1969-Q2",1,0.333333333333333,0,NA
"Yes","1969-Q2",-0.156462585034014,NA,1,-1
"No","1969-Q3",1,0,0.5,1
"Yes","1969-Q3",NA,NA,-1,NA
"No","1969-Q4",0.277777777777778,0.5,1,-1
"Yes","1969-Q4",-0.266666666666667,-1,1,1
"No","1970-Q1",0.25,0.5,0.333333333333333,-0.666666666666667
"Yes","1970-Q1",0,0.416666666666667,-1,0.6
"No","1970-Q2",-0.333333333333333,0.155555555555556,0.166666666666667,-1
"Yes","1970-Q2",-0.333333333333333,-0.5,-0.666666666666667,1
"No","1970-Q3",0.333333333333333,0.166666666666666,NA,-1
"Yes","1970-Q3",0.5,NA,1,0.875
"No","1970-Q4",0.228571428571429,-0.333333333333333,0.142857142857143,1
"Yes","1970-Q4",0,1,NA,-0.5
"No","1971-Q1",-0.0666666666666666,0.5,0.566666666666667,1
"Yes","1971-Q1",0.222222222222222,0.75,1,1
"No","1971-Q2",0.6,0.666666666666667,-0.222222222222222,0
"Yes","1971-Q2",0.183333333333333,0.5,1,-1
"No","1971-Q3",1,-1,NA,-1
"Yes","1971-Q3",0.5,0.333333333333333,NA,NA
"No","1971-Q4",-0.416666666666667,0.366666666666666,0.666666666666667,0
"Yes","1971-Q4",-0.533333333333333,-1,-0.2,-1
"No","1972-Q1",0.866666666666667,1,1,-1
"Yes","1972-Q1",-0.303030303030303,0.05,0.5,0.333333333333333
"No","1972-Q2",0.666666666666667,0.568181818181818,1,-0.111111111111111
"Yes","1972-Q2",-0.122222222222222,0.666666666666667,NA,NA
"No","1972-Q3",-0.428571428571428,0.333333333333333,0.333333333333333,-0.5
"Yes","1972-Q3",1,NA,NA,-0.5
"No","1972-Q4",0,0.6,0.666666666666667,-1
"Yes","1972-Q4",0.666666666666667,1,1,-0.333333333333333
"No","1973-Q1",0.212121212121212,NA,0.2,0.666666666666667
"Yes","1973-Q1",0.833333333333333,-0.5,1,1
"No","1973-Q2",1,0.2,0.5,-0.777777777777778
"Yes","1973-Q2",0.571428571428572,NA,0.888888888888889,-1
"No","1973-Q3",0,0.583333333333333,-0.166666666666667,0
"Yes","1973-Q3",0.166666666666666,-0.333333333333333,-0.4,NA
"No","1973-Q4",-0.5,0.3,0.333333333333333,1
"Yes","1973-Q4",-0.533333333333333,0.333333333333333,1,NA
"No","1974-Q1",0.166666666666667,-0.0555555555555553,-0.333333333333333,0
"Yes","1974-Q1",0.916666666666667,NA,-1,0
"No","1974-Q2",0.585185185185185,-0.833333333333333,0.407407407407407,-0.625
"Yes","1974-Q2",0,0.388888888888889,1,0
"No","1974-Q3",-0.476190476190476,-0.0793650793650794,0.238095238095238,0.142857142857143
"Yes","1974-Q3",0.125,1,0.333333333333333,0.333333333333333
"No","1974-Q4",0,0,-0.0666666666666666,NA
"Yes","1974-Q4",0.166666666666667,0.75,0.333333333333333,0
"No","1975-Q1",0.488888888888889,0.14,0.622222222222222,-0.266666666666667
"Yes","1975-Q1",-0.75,-0.888888888888889,0.5,0
"No","1975-Q2",0.356060606060606,0,-0.333333333333333,-0.75
"Yes","1975-Q2",0.0933333333333334,-1,1,-1
"No","1975-Q3",0.352380952380952,-0.533333333333333,0.6,-1
"Yes","1975-Q3",0.25,0.666666666666667,0.5,-0.19047619047619
"No","1975-Q4",0.428571428571429,-0.333333333333333,-0.25,-0.866666666666667
"Yes","1975-Q4",-0.75,0,0.733333333333333,-0.644444444444445
"No","1976-Q1",0.238095238095238,0.666666666666667,0.4,0
"Yes","1976-Q1",-1,-1,0.333333333333333,0.777777777777778
"No","1976-Q2",0.459259259259259,0.916666666666667,-0.25,-0.0416666666666668
"Yes","1976-Q2",0.666666666666667,NA,0,NA
"No","1976-Q3",-0.371428571428571,1,0,-1
"Yes","1976-Q3",1,-1,-1,1
"No","1976-Q4",-0.333333333333333,0,0.666666666666667,NA
"Yes","1976-Q4",0.5,-1,0.333333333333333,1
"No","1977-Q1",1,0.375,0.6,-1
"Yes","1977-Q1",-0.333333333333333,-0.333333333333333,NA,1
"No","1977-Q2",0.5,1,0.111111111111111,-1
"Yes","1977-Q2",-0.133333333333333,0,0,-1
"No","1977-Q3",0,NA,-1,1
"Yes","1977-Q3",-0.466666666666666,NA,NA,0
"No","1977-Q4",-0.25,0,0.5,-1
"Yes","1977-Q4",0.333333333333333,0.6,1,0.166666666666667
"No","1978-Q1",0.888888888888889,0,1,-0.6
"Yes","1978-Q1",-1,0.4,0.333333333333333,-0.6
"No","1978-Q2",-0.323809523809524,-0.15,0.6,-0.666666666666667
"Yes","1978-Q2",0.466666666666667,0,1,-0.714285714285714
"No","1978-Q3",0.2,0.15,0.333333333333333,-0.44
"Yes","1978-Q3",-0.166666666666666,0.666666666666667,NA,-1
"No","1978-Q4",-0.0211640211640212,-0.533333333333333,-0.2,-0.648148148148148
"Yes","1978-Q4",0.15,-0.166666666666666,-0.333333333333333,-0.666666666666667
"No","1979-Q1",0.538461538461538,0.583333333333333,-0.142857142857143,0.025
"Yes","1979-Q1",-0.19047619047619,-0.333333333333333,0.166666666666667,-0.8
"No","1979-Q2",0.8,-0.555555555555556,-0.416666666666667,-0.714285714285714
"Yes","1979-Q2",0.222222222222222,-0.777777777777778,1,0
"No","1979-Q3",-0.166666666666667,-0.166666666666667,0.333333333333333,-0.8125
"Yes","1979-Q3",-0.166666666666667,-0.333333333333333,NA,-0.333333333333333
"No","1979-Q4",0.25,0,0.0694444444444445,-0.146666666666667
"Yes","1979-Q4",-0.166666666666667,0,-0.785714285714285,1
"No","1980-Q1",0.185185185185185,0,0.075,0
"Yes","1980-Q1",-0.5,NA,1,0
"No","1980-Q2",0.137254901960784,-0.333333333333333,-0.133333333333333,-0.428571428571429
"Yes","1980-Q2",-0.833333333333333,-1,-0.166666666666667,0.166666666666667
"No","1980-Q3",0.227777777777778,-0.0468864468864469,0,0.0363636363636364
"Yes","1980-Q3",1,NA,-1,0
"No","1980-Q4",0.2,0.75,-0.638095238095238,1
"Yes","1980-Q4",0.333333333333333,1,0,0
"No","1981-Q1",0.571428571428571,0.444444444444445,-0.333333333333333,-0.428571428571429
"Yes","1981-Q1",-1,NA,0.133333333333333,-1
"No","1981-Q2",0.5,0.363636363636364,-0.431578947368421,-0.125
"Yes","1981-Q2",-1,NA,-0.166666666666667,-1
"No","1981-Q3",0.1,-0.6,0.355555555555556,0.0370370370370371
"Yes","1981-Q3",-1,-0.333333333333333,-0.5,-1
"No","1981-Q4",0.421052631578947,-0.818181818181818,-0.595238095238095,-0.532467532467532
"Yes","1981-Q4",-1,NA,0,-0.166666666666667
"No","1982-Q1",0.0333333333333333,1,-0.777777777777778,-0.2
"Yes","1982-Q1",-1,-1,1,-0.75
"No","1982-Q2",-0.0833333333333332,1,-0.111111111111111,0
"Yes","1982-Q2",-0.386666666666667,0,0.555555555555556,0.25
"No","1982-Q3",-0.2,-0.0666666666666668,-0.302483660130719,-0.714285714285714
"Yes","1982-Q3",1,NA,NA,NA
"No","1982-Q4",-0.333333333333333,1,0.625,-0.375
"Yes","1982-Q4",NA,1,1,-0.333333333333333
"No","1983-Q1",0.166666666666667,0.555555555555556,0,-1
"Yes","1983-Q1",-1,NA,0,-1
"No","1983-Q2",0.6,0.0833333333333332,0.5,-1
"Yes","1983-Q2",0.333333333333333,1,1,-1
"No","1983-Q3",0.5,1,0.8,1
"Yes","1983-Q3",NA,NA,1,-0.333333333333333
"No","1983-Q4",0,1,-0.0666666666666667,0.625
"Yes","1983-Q4",0.5,0.733333333333333,0.133333333333333,-0.2
"No","1984-Q1",0.185185185185185,0.333333333333333,0.703703703703704,-0.586296056884292
"Yes","1984-Q1",0.388888888888889,NA,NA,0.555555555555555
"No","1984-Q2",0.426587301587302,1,0.388528138528139,-0.416666666666667
"Yes","1984-Q2",-0.222222222222222,-1,1,-0.174603174603175
"No","1984-Q3",1,-1,0,-1
"Yes","1984-Q3",-1,NA,0.333333333333333,NA
"No","1984-Q4",0.5,0.9,0.733333333333333,-0.575
"No","1985-Q1",0.4,0.07,0.4,0
"Yes","1985-Q1",0.367857142857143,-0.0857142857142857,1,0.277777777777778
"No","1985-Q2",0.0416666666666667,0.555555555555556,0.0706959706959707,-0.494360902255639
"Yes","1985-Q2",0.222222222222222,-0.0333333333333333,0.5,0.79047619047619
"No","1985-Q3",-1,0.222222222222222,0.266666666666667,0.321428571428572
"Yes","1985-Q3",0.333333333333333,-1,-0.0833333333333332,-0.2
"No","1985-Q4",1,-0.416666666666667,-0.375,-0.396825396825397
"Yes","1985-Q4",0.783333333333333,0.942857142857143,0.166666666666667,-0.0185185185185186
"No","1986-Q1",1,NA,0.0909090909090909,-0.216666666666667
"Yes","1986-Q1",0.866666666666667,-0.5,-1,0.411111111111111
"No","1986-Q2",-0.5,0.06,-0.123809523809524,0.2
"Yes","1986-Q2",1,1,0.125,1
"No","1986-Q3",0.5,1,-1,-0.666666666666667
"Yes","1986-Q3",0.708333333333333,1,-1,-0.416666666666667
"No","1986-Q4",NA,NA,-0.0511363636363635,-1
"Yes","1986-Q4",0.666666666666667,0.611111111111111,0,0.466666666666667
"No","1987-Q1",-0.833333333333333,-0.857142857142857,0.104166666666667,-0.5
"Yes","1987-Q1",0.7,-0.07,0.412698412698413,-0.8
"No","1987-Q2",-0.333333333333333,0.75,0.0476190476190476,-0.625
"Yes","1987-Q2",0.166666666666666,-0.2,1,0.5
"No","1987-Q3",0.666666666666667,NA,NA,1
"Yes","1987-Q3",1,-1,0.666666666666667,0
"No","1987-Q4",1,-1,1.851275209519e-17,0
"Yes","1987-Q4",0.9375,0.553571428571429,0.181818181818182,-0.708333333333333
"No","1988-Q1",0.5,0,0.090909090909091,-1
"Yes","1988-Q1",0.311111111111111,-0.444444444444444,-0.617777777777778,-0.5
"No","1988-Q2",1,0.6,-0.142857142857143,-0.0833333333333332
"Yes","1988-Q2",0.333333333333333,NA,-0.5,-1
"No","1988-Q3",1,NA,0.4,NA
"Yes","1988-Q3",0.333333333333333,1,NA,-1
"No","1988-Q4",0,-1,0.104166666666667,-0.5
"Yes","1988-Q4",1,1,-1,-0.259259259259259
"No","1989-Q1",1,-0.68,-0.583333333333333,-0.722222222222222
"Yes","1989-Q1",0.0606060606060606,-0.06,0.333333333333333,-0.977777777777778
"No","1989-Q2",1,-0.285714285714285,-0.375,-0.541666666666667
"Yes","1989-Q2",-0.6,0.528571428571429,-0.238095238095238,-0.5
"No","1989-Q3",-1,-0.333333333333333,0,-1
"Yes","1989-Q3",-0.5,-0.666666666666667,NA,1
"No","1989-Q4",0.9375,1,-0.825396825396825,NA
"Yes","1989-Q4",0.261904761904762,0.444444444444445,0,1
"No","1990-Q1",0,-0.333333333333333,-0.435151515151515,-1
"Yes","1990-Q1",0.619047619047619,0.285714285714286,-0.366666666666667,0.119047619047619
"No","1990-Q2",NA,-0.142857142857143,-0.021256038647343,1
"Yes","1990-Q2",0.561904761904762,0.714285714285714,-0.284848484848485,0.333333333333333
"No","1990-Q3",1,-1,-0.0147515527950313,1
"Yes","1990-Q3",0,1,0.333333333333333,-1
"No","1990-Q4",NA,0,-0.290322580645161,NA
"Yes","1990-Q4",-0.666666666666667,1,-0.5,-0.6
"No","1991-Q1",1,1,-0.151515151515152,NA
"Yes","1991-Q1",0.542857142857143,-0.636363636363636,-0.238095238095238,-0.222222222222222
"No","1991-Q2",1,NA,-0.875,1
"Yes","1991-Q2",0.333333333333333,-1,-0.554166666666667,-1
"No","1991-Q3",0,NA,-0.3,-1
"Yes","1991-Q3",1,0.5,0.7,-0.12
"No","1991-Q4",1,NA,-0.244444444444444,NA
"Yes","1991-Q4",0.5,-0.5,0.416666666666667,0
"No","1992-Q1",0.666666666666667,1,-0.6,-1
"Yes","1992-Q1",0.857142857142857,-0.2,0.566666666666667,0.555555555555555
"No","1992-Q2",NA,NA,-0.155555555555555,-1
"Yes","1992-Q2",0.375,0.777777777777778,-0.0818070818070818,0.5
"No","1992-Q3",NA,NA,-0.4,-1
"Yes","1992-Q3",0.809523809523809,1,-0.0555555555555557,0.375
"No","1992-Q4",1,NA,-0.25,NA
"Yes","1992-Q4",0.555555555555555,1,0.75,0
"No","1993-Q1",0.0634920634920635,NA,-0.485714285714286,-0.333333333333333
