"","Household$Tone"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",-1
"8",-1
"9",NA
"10",-1
"11",NA
"12",1
"13",NA
"14",NA
"15",-1
"16",1
"17",NA
"18",NA
"19",NA
"20",NA
"21",1
"22",NA
"23",NA
"24",NA
"25",1
"26",NA
"27",NA
"28",1
"29",NA
"30",1
"31",NA
"32",NA
"33",NA
"34",1
"35",NA
"36",NA
"37",NA
"38",-1
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",-0.2
"46",NA
"47",NA
"48",0
"49",NA
"50",NA
"51",NA
"52",NA
"53",1
"54",0.333333333333333
"55",NA
"56",1
"57",1
"58",-1
"59",NA
"60",NA
"61",-0.5
"62",NA
"63",0.333333333333333
"64",NA
"65",NA
"66",0.142857142857143
"67",1
"68",NA
"69",0.333333333333333
"70",0.666666666666667
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",0.666666666666667
"77",NA
"78",-1
"79",NA
"80",NA
"81",0.5
"82",NA
"83",NA
"84",NA
"85",-1
"86",-1
"87",NA
"88",NA
"89",1
"90",1
"91",NA
"92",NA
"93",1
"94",1
"95",NA
"96",1
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",-1
"113",NA
"114",NA
"115",NA
"116",NA
"117",-1
"118",NA
"119",NA
"120",NA
"121",1
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",1
"128",-1
"129",NA
"130",-1
"131",NA
"132",NA
"133",0.2
"134",-1
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",1
"143",-1
"144",-1
"145",1
"146",NA
"147",NA
"148",0.333333333333333
"149",NA
"150",-1
"151",1
"152",NA
"153",1
"154",NA
"155",NA
"156",NA
"157",-1
"158",NA
"159",NA
"160",NA
"161",NA
"162",-1
"163",1
"164",NA
"165",1
"166",NA
"167",NA
"168",NA
"169",NA
"170",1
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",-1
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",1
"185",NA
"186",1
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",0.75
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",1
"221",NA
"222",1
"223",NA
"224",NA
"225",1
"226",NA
"227",NA
"228",1
"229",NA
"230",NA
"231",1
"232",NA
"233",NA
"234",NA
"235",1
"236",NA
"237",0.666666666666667
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",1
"248",NA
"249",NA
"250",NA
"251",NA
"252",0.555555555555556
"253",NA
"254",NA
"255",NA
"256",-0.428571428571429
"257",NA
"258",1
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",NA
"273",1
"274",1
"275",1
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",1
"282",1
"283",NA
"284",-1
"285",NA
"286",1
"287",NA
"288",1
"289",1
"290",-1
"291",NA
"292",NA
"293",NA
"294",NA
"295",1
"296",NA
"297",NA
"298",NA
"299",NA
"300",1
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",1
"311",1
"312",-1
"313",NA
"314",NA
"315",1
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",-1
"322",NA
"323",NA
"324",NA
"325",1
"326",NA
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",1
"333",NA
"334",NA
"335",NA
"336",NA
"337",1
"338",1
"339",NA
"340",1
"341",1
"342",1
"343",1
"344",1
"345",NA
"346",1
"347",NA
"348",1
"349",NA
"350",NA
"351",1
"352",1
"353",NA
"354",1
"355",1
"356",1
"357",1
"358",1
"359",NA
"360",NA
"361",NA
"362",NA
"363",1
"364",NA
"365",NA
"366",NA
"367",1
"368",NA
"369",0
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",NA
"376",1
"377",0
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",0.636363636363636
"386",NA
"387",NA
"388",NA
"389",-1
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",1
"396",NA
"397",0.333333333333333
"398",1
"399",-1
"400",NA
"401",0.666666666666667
"402",NA
"403",1
"404",1
"405",-1
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",1
"413",NA
"414",NA
"415",NA
"416",-1
"417",NA
"418",NA
"419",-1
"420",-1
"421",NA
"422",NA
"423",NA
"424",-1
"425",NA
"426",NA
"427",NA
"428",1
"429",1
"430",NA
"431",-1
"432",NA
"433",1
"434",NA
"435",1
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",1
"442",NA
"443",NA
"444",1
"445",NA
"446",NA
"447",NA
"448",1
"449",NA
"450",NA
"451",NA
"452",NA
"453",1
"454",0
"455",NA
"456",NA
"457",NA
"458",NA
"459",-1
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",NA
"466",1
"467",NA
"468",NA
"469",-0.333333333333333
"470",NA
"471",NA
"472",NA
"473",NA
"474",0
"475",NA
"476",NA
"477",0
"478",NA
"479",NA
"480",NA
"481",0.714285714285714
"482",NA
"483",0
"484",NA
"485",NA
"486",-1
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",1
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",1
"500",NA
"501",NA
"502",NA
"503",-1
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",1
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",NA
"521",0
"522",NA
"523",NA
"524",NA
"525",NA
"526",-1
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",1
"533",NA
"534",NA
"535",NA
"536",NA
"537",1
"538",0
"539",NA
"540",0
"541",0
"542",NA
"543",NA
"544",1
"545",NA
"546",NA
"547",0.6
"548",NA
"549",-0.333333333333333
"550",1
"551",NA
"552",NA
"553",NA
"554",NA
"555",-1
"556",1
"557",1
"558",1
"559",NA
"560",NA
"561",-1
"562",0
"563",-1
"564",NA
"565",NA
"566",NA
"567",NA
"568",0.142857142857143
"569",NA
"570",NA
"571",1
"572",-1
"573",1
"574",NA
"575",NA
"576",NA
"577",NA
"578",NA
"579",NA
"580",NA
"581",NA
"582",-1
"583",NA
"584",1
"585",-1
"586",-1
"587",NA
"588",NA
"589",NA
"590",0.333333333333333
"591",0
"592",-0.666666666666667
"593",-0.333333333333333
"594",NA
"595",1
"596",-0.333333333333333
"597",1
"598",-1
"599",-1
"600",-1
"601",NA
"602",NA
"603",NA
"604",NA
"605",NA
"606",0.333333333333333
"607",1
"608",0.6
"609",NA
"610",NA
"611",NA
"612",1
"613",1
"614",NA
"615",-0.5
"616",NA
"617",-0.333333333333333
"618",0.2
"619",-1
"620",0.6
"621",1
"622",NA
"623",NA
"624",NA
"625",1
"626",-0.333333333333333
"627",-1
"628",NA
"629",0
"630",-1
"631",NA
"632",1
"633",NA
"634",0
"635",0.333333333333333
"636",NA
"637",-0.2
"638",NA
"639",NA
"640",-0.142857142857143
"641",-0.6
"642",NA
"643",NA
"644",1
"645",NA
"646",NA
"647",1
"648",NA
"649",1
"650",1
"651",-1
"652",NA
"653",NA
"654",NA
"655",NA
"656",1
"657",-0.5
"658",NA
"659",1
"660",NA
"661",NA
"662",0.333333333333333
"663",NA
"664",0.333333333333333
"665",NA
"666",-1
"667",NA
"668",NA
"669",-1
"670",-1
"671",-1
"672",NA
"673",-1
"674",0.428571428571429
"675",-0.2
"676",NA
"677",0
"678",1
"679",NA
"680",NA
"681",NA
"682",0
"683",0.142857142857143
"684",NA
"685",0
"686",-1
"687",NA
"688",0.333333333333333
"689",1
"690",1
"691",-1
"692",-1
"693",0.333333333333333
"694",NA
"695",1
"696",-1
"697",NA
"698",NA
"699",NA
"700",NA
"701",NA
"702",NA
"703",1
"704",-1
"705",NA
"706",1
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",-1
"717",-1
"718",NA
"719",NA
"720",NA
"721",NA
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",0
"728",NA
"729",NA
"730",NA
"731",-1
"732",NA
"733",-1
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",1
"744",NA
"745",NA
"746",NA
"747",NA
"748",NA
"749",NA
"750",-1
"751",NA
"752",NA
"753",0.333333333333333
"754",NA
"755",NA
"756",0.5
"757",0.5
"758",NA
"759",NA
"760",1
"761",1
"762",NA
"763",0.333333333333333
"764",1
"765",NA
"766",NA
"767",-1
"768",NA
"769",1
"770",NA
"771",-1
"772",-1
"773",NA
"774",-1
"775",NA
"776",1
"777",NA
"778",NA
"779",1
"780",NA
"781",NA
"782",1
"783",1
"784",NA
"785",NA
"786",1
"787",-1
"788",1
"789",NA
"790",NA
"791",NA
"792",-1
"793",NA
"794",NA
"795",-1
"796",1
"797",NA
"798",NA
"799",NA
"800",NA
"801",1
"802",-1
"803",1
"804",NA
"805",0.2
"806",-1
"807",NA
"808",1
"809",NA
"810",NA
"811",0
"812",-1
"813",-1
"814",0
"815",0.2
"816",NA
"817",-1
"818",NA
"819",1
"820",NA
"821",-0.333333333333333
"822",0
"823",NA
"824",NA
"825",NA
"826",NA
"827",NA
"828",NA
"829",-1
"830",NA
"831",0
"832",NA
"833",-1
"834",0.5
"835",NA
"836",0.333333333333333
"837",NA
"838",NA
"839",NA
"840",0.333333333333333
"841",1
"842",1
"843",NA
"844",NA
"845",NA
"846",1
"847",NA
"848",-1
"849",NA
"850",1
"851",0.333333333333333
"852",NA
"853",NA
"854",1
"855",NA
"856",0.333333333333333
"857",0.5
"858",NA
"859",NA
"860",1
"861",NA
"862",1
"863",NA
"864",1
"865",1
"866",NA
"867",-1
"868",-1
"869",NA
"870",NA
"871",NA
"872",NA
"873",NA
"874",NA
"875",NA
"876",NA
"877",-1
"878",NA
"879",NA
"880",NA
"881",NA
"882",NA
"883",NA
"884",NA
"885",1
"886",NA
"887",NA
"888",NA
"889",NA
"890",NA
"891",NA
"892",0
"893",NA
"894",NA
"895",NA
"896",-1
"897",NA
"898",NA
"899",NA
"900",0
"901",1
"902",1
"903",NA
"904",NA
"905",NA
"906",1
"907",NA
"908",NA
"909",1
"910",1
"911",1
"912",NA
"913",0.666666666666667
"914",0.846153846153846
"915",NA
"916",NA
"917",1
"918",1
"919",0
"920",1
"921",1
"922",NA
"923",NA
"924",NA
"925",1
"926",-1
"927",-0.333333333333333
"928",-0.5
"929",NA
"930",NA
"931",NA
"932",0.5
"933",NA
"934",NA
"935",1
"936",NA
"937",NA
"938",NA
"939",0
"940",1
"941",NA
"942",NA
"943",1
"944",1
"945",1
"946",1
"947",NA
"948",NA
"949",1
"950",1
"951",NA
"952",NA
"953",1
"954",NA
"955",NA
"956",NA
"957",NA
"958",1
"959",1
"960",1
"961",NA
"962",1
"963",NA
"964",NA
"965",NA
"966",NA
"967",NA
"968",1
"969",NA
"970",NA
"971",1
"972",NA
"973",NA
"974",NA
"975",NA
"976",NA
"977",1
"978",NA
"979",NA
"980",NA
"981",NA
"982",1
"983",NA
"984",NA
"985",NA
"986",NA
"987",NA
"988",NA
"989",NA
"990",NA
"991",NA
"992",NA
"993",1
"994",NA
"995",NA
"996",1
"997",NA
"998",NA
"999",NA
"1000",NA
"1001",NA
"1002",NA
"1003",-0.2
"1004",NA
"1005",NA
"1006",0
"1007",NA
"1008",NA
"1009",NA
"1010",NA
"1011",1
"1012",0.333333333333333
"1013",NA
"1014",1
"1015",1
"1016",-1
"1017",NA
"1018",NA
"1019",-0.5
"1020",NA
"1021",0.333333333333333
"1022",NA
"1023",NA
"1024",0.142857142857143
"1025",1
"1026",NA
"1027",0.333333333333333
"1028",0.666666666666667
"1029",NA
"1030",NA
"1031",NA
"1032",NA
"1033",NA
"1034",0.666666666666667
"1035",NA
"1036",-1
"1037",NA
"1038",NA
"1039",0.5
"1040",NA
"1041",NA
"1042",NA
"1043",-1
"1044",-1
"1045",NA
"1046",NA
"1047",1
"1048",1
"1049",NA
"1050",NA
"1051",1
"1052",1
"1053",NA
"1054",1
"1055",NA
"1056",NA
"1057",NA
"1058",-1
"1059",NA
"1060",NA
"1061",NA
"1062",NA
"1063",-1
"1064",NA
"1065",NA
"1066",NA
"1067",1
"1068",NA
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",1
"1074",-1
"1075",NA
"1076",-1
"1077",-1
"1078",-1
"1079",NA
"1080",NA
"1081",0
"1082",NA
"1083",NA
"1084",1
"1085",NA
"1086",NA
"1087",NA
"1088",NA
"1089",1
"1090",NA
"1091",NA
"1092",1
"1093",NA
"1094",-1
"1095",NA
"1096",1
"1097",NA
"1098",NA
"1099",NA
"1100",NA
"1101",NA
"1102",1
"1103",NA
"1104",NA
"1105",NA
"1106",NA
"1107",NA
"1108",-1
"1109",NA
"1110",NA
"1111",NA
"1112",NA
"1113",1
"1114",NA
"1115",-1
"1116",NA
"1117",NA
"1118",NA
"1119",NA
"1120",NA
"1121",0.692307692307692
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",NA
"1127",NA
"1128",NA
"1129",1
"1130",NA
"1131",NA
"1132",0
"1133",NA
"1134",0
"1135",NA
"1136",1
"1137",NA
"1138",NA
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145",1
"1146",0.666666666666667
"1147",1
"1148",1
"1149",1
"1150",NA
"1151",-1
"1152",0.733333333333333
"1153",NA
"1154",NA
"1155",NA
"1156",0
"1157",0.333333333333333
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",NA
"1163",NA
"1164",NA
"1165",0.5
"1166",NA
"1167",NA
"1168",NA
"1169",-1
"1170",NA
"1171",NA
"1172",1
"1173",NA
"1174",NA
"1175",1
"1176",NA
"1177",1
"1178",NA
"1179",1
"1180",NA
"1181",-1
"1182",NA
"1183",-1
"1184",1
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",-1
"1190",-1
"1191",NA
"1192",1
"1193",1
"1194",NA
"1195",0
"1196",NA
"1197",0
"1198",0
"1199",NA
"1200",NA
"1201",NA
"1202",1
"1203",NA
"1204",1
"1205",1
"1206",NA
"1207",NA
"1208",NA
"1209",NA
"1210",NA
"1211",NA
"1212",1
"1213",0.6
"1214",NA
"1215",0
"1216",1
"1217",NA
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",-1
"1224",NA
"1225",0.636363636363636
"1226",NA
"1227",NA
"1228",NA
"1229",NA
"1230",NA
"1231",-1
"1232",NA
"1233",NA
"1234",1
"1235",NA
"1236",1
"1237",NA
"1238",-0.4
"1239",NA
"1240",-1
"1241",NA
"1242",NA
"1243",NA
"1244",1
"1245",NA
"1246",NA
"1247",NA
"1248",NA
"1249",NA
"1250",NA
"1251",NA
"1252",1
"1253",NA
"1254",NA
"1255",NA
"1256",NA
"1257",NA
"1258",1
"1259",1
"1260",NA
"1261",NA
"1262",1
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",NA
"1268",NA
"1269",NA
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",NA
"1278",NA
"1279",-1
"1280",NA
"1281",NA
"1282",NA
"1283",NA
"1284",NA
"1285",NA
"1286",NA
"1287",NA
"1288",NA
"1289",NA
"1290",0
"1291",NA
"1292",-1
"1293",1
"1294",-1
"1295",NA
"1296",NA
"1297",NA
"1298",NA
"1299",0.2
"1300",-1
"1301",NA
"1302",NA
"1303",NA
"1304",NA
"1305",NA
"1306",NA
"1307",NA
"1308",1
"1309",-1
"1310",-1
"1311",1
"1312",NA
"1313",NA
"1314",0.333333333333333
"1315",NA
"1316",-1
"1317",1
"1318",NA
"1319",1
"1320",NA
"1321",NA
"1322",NA
"1323",NA
"1324",NA
"1325",NA
"1326",NA
"1327",NA
"1328",1
"1329",NA
"1330",NA
"1331",NA
"1332",NA
"1333",NA
"1334",-1
"1335",NA
"1336",NA
"1337",NA
"1338",1
"1339",NA
"1340",NA
"1341",1
"1342",NA
"1343",1
"1344",NA
"1345",NA
"1346",NA
"1347",NA
"1348",NA
"1349",1
"1350",-1
"1351",NA
"1352",NA
"1353",NA
"1354",NA
"1355",NA
"1356",0.333333333333333
"1357",NA
"1358",NA
"1359",NA
"1360",NA
"1361",NA
"1362",NA
"1363",NA
"1364",NA
"1365",NA
"1366",NA
"1367",NA
"1368",NA
"1369",-1
"1370",NA
"1371",1
"1372",NA
"1373",1
"1374",1
"1375",1
"1376",NA
"1377",NA
"1378",NA
"1379",NA
"1380",NA
"1381",-0.333333333333333
"1382",NA
"1383",NA
"1384",NA
"1385",NA
"1386",NA
"1387",1
"1388",NA
"1389",NA
"1390",NA
"1391",NA
"1392",NA
"1393",NA
"1394",NA
"1395",NA
"1396",0.333333333333333
"1397",NA
"1398",NA
"1399",NA
"1400",NA
"1401",NA
"1402",1
"1403",1
"1404",NA
"1405",NA
"1406",NA
"1407",1
"1408",NA
"1409",NA
"1410",NA
"1411",NA
"1412",1
"1413",NA
"1414",1
"1415",1
"1416",NA
"1417",NA
"1418",1
"1419",1
"1420",NA
"1421",NA
"1422",NA
"1423",NA
"1424",NA
"1425",NA
"1426",NA
"1427",1
"1428",NA
"1429",0.2
"1430",NA
"1431",1
"1432",NA
"1433",NA
"1434",NA
"1435",NA
"1436",NA
"1437",NA
"1438",1
"1439",NA
"1440",NA
"1441",1
"1442",1
"1443",NA
"1444",NA
"1445",NA
"1446",NA
"1447",NA
"1448",NA
"1449",1
"1450",NA
"1451",1
"1452",NA
"1453",NA
"1454",NA
"1455",NA
"1456",NA
"1457",NA
"1458",NA
"1459",NA
"1460",NA
"1461",NA
"1462",NA
"1463",NA
"1464",NA
"1465",NA
"1466",-0.333333333333333
"1467",NA
"1468",NA
"1469",NA
"1470",NA
"1471",NA
"1472",NA
"1473",NA
"1474",NA
"1475",NA
"1476",NA
"1477",NA
"1478",NA
"1479",NA
"1480",NA
"1481",NA
"1482",NA
"1483",NA
"1484",1
"1485",NA
"1486",NA
"1487",NA
"1488",NA
"1489",NA
"1490",NA
"1491",NA
"1492",NA
"1493",NA
"1494",NA
"1495",NA
"1496",NA
"1497",NA
"1498",NA
"1499",NA
"1500",NA
"1501",NA
"1502",NA
"1503",NA
"1504",NA
"1505",NA
"1506",NA
"1507",-1
"1508",NA
"1509",NA
"1510",NA
"1511",NA
"1512",NA
"1513",NA
"1514",NA
"1515",NA
"1516",NA
"1517",1
"1518",1
"1519",NA
"1520",-1
"1521",NA
"1522",1
"1523",NA
"1524",1
"1525",1
"1526",-1
"1527",NA
"1528",NA
"1529",NA
"1530",NA
"1531",1
"1532",NA
"1533",NA
"1534",NA
"1535",NA
"1536",1
"1537",NA
"1538",NA
"1539",NA
"1540",NA
"1541",NA
"1542",NA
"1543",NA
"1544",NA
"1545",NA
"1546",1
"1547",1
"1548",-1
"1549",NA
"1550",NA
"1551",1
"1552",NA
"1553",NA
"1554",NA
"1555",NA
"1556",NA
"1557",-1
"1558",NA
"1559",NA
"1560",NA
"1561",NA
"1562",1
"1563",NA
"1564",0.2
"1565",NA
"1566",NA
"1567",NA
"1568",NA
"1569",NA
"1570",NA
"1571",NA
"1572",NA
"1573",NA
"1574",NA
"1575",1
"1576",0
"1577",1
"1578",NA
"1579",1
"1580",NA
"1581",NA
"1582",NA
"1583",NA
"1584",1
"1585",NA
"1586",1
"1587",1
"1588",1
"1589",NA
"1590",1
"1591",NA
"1592",NA
"1593",NA
"1594",1
"1595",NA
"1596",NA
"1597",NA
"1598",1
"1599",-1
"1600",1
"1601",NA
"1602",NA
"1603",-1
"1604",NA
"1605",NA
"1606",NA
"1607",NA
"1608",NA
"1609",NA
"1610",NA
"1611",NA
"1612",NA
"1613",NA
"1614",NA
"1615",1
"1616",-1
"1617",NA
"1618",NA
"1619",NA
"1620",NA
"1621",NA
"1622",NA
"1623",NA
"1624",NA
"1625",NA
"1626",NA
"1627",NA
"1628",NA
"1629",NA
"1630",1
"1631",NA
"1632",NA
"1633",NA
"1634",NA
"1635",NA
"1636",NA
"1637",NA
"1638",NA
"1639",NA
"1640",NA
"1641",1
"1642",1
"1643",1
"1644",NA
"1645",NA
"1646",NA
"1647",1
"1648",NA
"1649",NA
"1650",NA
"1651",-1
"1652",NA
"1653",NA
"1654",NA
"1655",NA
"1656",NA
"1657",1
"1658",NA
"1659",NA
"1660",NA
"1661",1
"1662",NA
"1663",NA
"1664",1
"1665",NA
"1666",1
"1667",0
"1668",NA
"1669",NA
"1670",NA
"1671",1
"1672",NA
"1673",NA
"1674",1
"1675",1
"1676",NA
"1677",1
"1678",NA
"1679",1
"1680",NA
"1681",-1
"1682",1
"1683",NA
"1684",1
"1685",1
"1686",NA
"1687",1
"1688",1
"1689",NA
"1690",NA
"1691",NA
"1692",1
"1693",NA
"1694",1
"1695",1
"1696",1
"1697",NA
"1698",NA
"1699",NA
"1700",1
"1701",1
"1702",NA
"1703",NA
"1704",1
"1705",NA
"1706",1
"1707",NA
"1708",NA
"1709",NA
"1710",NA
"1711",1
"1712",0
"1713",-0.333333333333333
"1714",1
"1715",NA
"1716",NA
"1717",NA
"1718",NA
"1719",NA
"1720",NA
"1721",-1
"1722",NA
"1723",NA
"1724",1
"1725",1
"1726",NA
"1727",1
"1728",NA
"1729",1
"1730",NA
"1731",NA
"1732",1
"1733",1
"1734",NA
"1735",1
"1736",1
"1737",1
"1738",1
"1739",1
"1740",NA
"1741",NA
"1742",NA
"1743",NA
"1744",1
"1745",1
"1746",NA
"1747",1
"1748",NA
"1749",1
"1750",NA
"1751",NA
"1752",1
"1753",1
"1754",NA
"1755",1
"1756",1
"1757",1
"1758",1
"1759",1
"1760",NA
"1761",NA
"1762",NA
"1763",NA
"1764",NA
"1765",0
"1766",NA
"1767",NA
"1768",NA
"1769",NA
"1770",NA
"1771",NA
"1772",NA
"1773",NA
"1774",NA
"1775",NA
"1776",NA
"1777",NA
"1778",NA
"1779",NA
"1780",1
"1781",NA
"1782",NA
"1783",NA
"1784",1
"1785",1
"1786",1
"1787",1
"1788",NA
"1789",NA
"1790",NA
"1791",NA
"1792",NA
"1793",1
"1794",1
"1795",NA
"1796",NA
"1797",NA
"1798",NA
"1799",0.818181818181818
"1800",NA
"1801",1
"1802",NA
"1803",0.2
"1804",NA
"1805",NA
"1806",1
"1807",NA
"1808",0.714285714285714
"1809",NA
"1810",NA
"1811",1
"1812",0.5
"1813",1
"1814",NA
"1815",0.5
"1816",NA
"1817",1
"1818",NA
"1819",NA
"1820",NA
"1821",NA
"1822",NA
"1823",NA
"1824",NA
"1825",NA
"1826",NA
"1827",NA
"1828",NA
"1829",NA
"1830",1
"1831",NA
"1832",NA
"1833",1
"1834",NA
"1835",NA
"1836",NA
