"","Household$Tone"
"1837",1
"1838",0.5
"1839",NA
"1840",NA
"1841",NA
"1842",1
"1843",NA
"1844",1
"1845",1
"1846",NA
"1847",1
"1848",0.6
"1849",1
"1850",NA
"1851",1
"1852",NA
"1853",-1
"1854",NA
"1855",NA
"1856",NA
"1857",NA
"1858",1
"1859",1
"1860",1
"1861",1
"1862",1
"1863",NA
"1864",NA
"1865",0
"1866",NA
"1867",NA
"1868",NA
"1869",NA
"1870",1
"1871",NA
"1872",NA
"1873",NA
"1874",NA
"1875",NA
"1876",NA
"1877",NA
"1878",NA
"1879",1
"1880",NA
"1881",NA
"1882",NA
"1883",0.545454545454545
"1884",0
"1885",NA
"1886",1
"1887",NA
"1888",NA
"1889",NA
"1890",1
"1891",NA
"1892",NA
"1893",NA
"1894",1
"1895",-1
"1896",NA
"1897",NA
"1898",NA
"1899",1
"1900",NA
"1901",NA
"1902",NA
"1903",1
"1904",1
"1905",NA
"1906",NA
"1907",NA
"1908",NA
"1909",NA
"1910",1
"1911",NA
"1912",NA
"1913",NA
"1914",1
"1915",NA
"1916",1
"1917",1
"1918",NA
"1919",1
"1920",1
"1921",NA
"1922",1
"1923",1
"1924",NA
"1925",NA
"1926",0
"1927",1
"1928",1
"1929",0.538461538461538
"1930",1
"1931",0.75
"1932",NA
"1933",NA
"1934",1
"1935",NA
"1936",NA
"1937",NA
"1938",1
"1939",0.714285714285714
"1940",NA
"1941",1
"1942",NA
"1943",1
"1944",0.714285714285714
"1945",1
"1946",1
"1947",NA
"1948",NA
"1949",1
"1950",NA
"1951",NA
"1952",1
"1953",NA
"1954",1
"1955",0.333333333333333
"1956",1
"1957",NA
"1958",NA
"1959",NA
"1960",1
"1961",NA
"1962",NA
"1963",NA
"1964",1
"1965",NA
"1966",NA
"1967",NA
"1968",NA
"1969",1
"1970",NA
"1971",1
"1972",1
"1973",NA
"1974",1
"1975",1
"1976",NA
"1977",NA
"1978",NA
"1979",1
"1980",NA
"1981",1
"1982",1
"1983",1
"1984",1
"1985",NA
"1986",NA
"1987",1
"1988",0
"1989",NA
"1990",1
"1991",1
"1992",NA
"1993",NA
"1994",NA
"1995",1
"1996",NA
"1997",1
"1998",NA
"1999",1
"2000",0.666666666666667
"2001",1
"2002",1
"2003",NA
"2004",1
"2005",NA
"2006",NA
"2007",NA
"2008",1
"2009",NA
"2010",1
"2011",NA
"2012",1
"2013",1
"2014",NA
"2015",NA
"2016",NA
"2017",1
"2018",0
"2019",NA
"2020",NA
"2021",NA
"2022",-1
"2023",NA
"2024",NA
"2025",1
"2026",NA
"2027",NA
"2028",NA
"2029",NA
"2030",NA
"2031",NA
"2032",NA
"2033",NA
"2034",NA
"2035",NA
"2036",NA
"2037",0.5
"2038",NA
"2039",1
"2040",NA
"2041",1
"2042",1
"2043",1
"2044",0
"2045",0.333333333333333
"2046",1
"2047",NA
"2048",NA
"2049",1
"2050",NA
"2051",NA
"2052",1
"2053",NA
"2054",NA
"2055",0.6
"2056",NA
"2057",1
"2058",NA
"2059",1
"2060",NA
"2061",NA
"2062",0.2
"2063",NA
"2064",NA
"2065",NA
"2066",NA
"2067",NA
"2068",1
"2069",-1
"2070",NA
"2071",NA
"2072",1
"2073",0.333333333333333
"2074",NA
"2075",1
"2076",NA
"2077",NA
"2078",1
"2079",-1
"2080",NA
"2081",NA
"2082",NA
"2083",NA
"2084",0.5
"2085",1
"2086",1
"2087",NA
"2088",NA
"2089",1
"2090",1
"2091",1
"2092",NA
"2093",1
"2094",NA
"2095",NA
"2096",NA
"2097",1
"2098",NA
"2099",NA
"2100",1
"2101",NA
"2102",NA
"2103",NA
"2104",NA
"2105",-1
"2106",NA
"2107",NA
"2108",NA
"2109",NA
"2110",NA
"2111",NA
"2112",NA
"2113",NA
"2114",NA
"2115",NA
"2116",NA
"2117",NA
"2118",NA
"2119",1
"2120",NA
"2121",NA
"2122",NA
"2123",NA
"2124",NA
"2125",1
"2126",NA
"2127",NA
"2128",0.333333333333333
"2129",NA
"2130",0.333333333333333
"2131",1
"2132",1
"2133",NA
"2134",NA
"2135",1
"2136",NA
"2137",1
"2138",1
"2139",NA
"2140",NA
"2141",NA
"2142",0.333333333333333
"2143",NA
"2144",NA
"2145",1
"2146",0
"2147",1
"2148",NA
"2149",0.5
"2150",NA
"2151",NA
"2152",0
"2153",NA
"2154",NA
"2155",NA
"2156",0.142857142857143
"2157",1
"2158",NA
"2159",NA
"2160",NA
"2161",NA
"2162",-1
"2163",0.333333333333333
"2164",1
"2165",NA
"2166",0
"2167",NA
"2168",1
"2169",1
"2170",0.714285714285714
"2171",1
"2172",1
"2173",NA
"2174",NA
"2175",NA
"2176",NA
"2177",NA
"2178",1
"2179",NA
"2180",NA
"2181",NA
"2182",NA
"2183",1
"2184",1
"2185",NA
"2186",NA
"2187",NA
"2188",1
"2189",NA
"2190",NA
"2191",-0.333333333333333
"2192",1
"2193",NA
"2194",NA
"2195",NA
"2196",NA
"2197",NA
"2198",NA
"2199",NA
"2200",NA
"2201",NA
"2202",1
"2203",NA
"2204",1
"2205",NA
"2206",NA
"2207",NA
"2208",NA
"2209",-1
"2210",0.6
"2211",1
"2212",NA
"2213",0.714285714285714
"2214",1
"2215",NA
"2216",NA
"2217",1
"2218",1
"2219",NA
"2220",NA
"2221",NA
"2222",NA
"2223",NA
"2224",0
"2225",NA
"2226",NA
"2227",1
"2228",-0.333333333333333
"2229",NA
"2230",-1
"2231",-1
"2232",NA
"2233",NA
"2234",NA
"2235",NA
"2236",NA
"2237",NA
"2238",NA
"2239",1
"2240",-1
"2241",NA
"2242",NA
"2243",-0.333333333333333
"2244",NA
"2245",-1
"2246",NA
"2247",0.333333333333333
"2248",NA
"2249",1
"2250",-0.333333333333333
"2251",NA
"2252",-0.333333333333333
"2253",1
"2254",1
"2255",NA
"2256",NA
"2257",1
"2258",NA
"2259",0
"2260",0.6
"2261",NA
"2262",NA
"2263",-1
"2264",1
"2265",1
"2266",NA
"2267",NA
"2268",NA
"2269",NA
"2270",NA
"2271",NA
"2272",NA
"2273",-1
"2274",NA
"2275",NA
"2276",NA
"2277",NA
"2278",NA
"2279",NA
"2280",0.304347826086957
"2281",NA
"2282",0.304347826086957
"2283",0
"2284",NA
"2285",NA
"2286",-1
"2287",0.0909090909090909
"2288",0
"2289",NA
"2290",NA
"2291",-0.2
"2292",NA
"2293",NA
"2294",1
"2295",0
"2296",1
"2297",NA
"2298",1
"2299",-1
"2300",NA
"2301",NA
"2302",NA
"2303",NA
"2304",NA
"2305",0.2
"2306",NA
"2307",NA
"2308",NA
"2309",1
"2310",NA
"2311",NA
"2312",NA
"2313",1
"2314",NA
"2315",NA
"2316",1
"2317",NA
"2318",-0.111111111111111
"2319",NA
"2320",NA
"2321",NA
"2322",1
"2323",NA
"2324",NA
"2325",NA
"2326",1
"2327",NA
"2328",1
"2329",NA
"2330",NA
"2331",NA
"2332",-1
"2333",NA
"2334",0
"2335",NA
"2336",NA
"2337",-0.5
"2338",-1
"2339",-1
"2340",1
"2341",1
"2342",1
"2343",0.5
"2344",1
"2345",-1
"2346",NA
"2347",0.5
"2348",0.333333333333333
"2349",NA
"2350",NA
"2351",NA
"2352",-1
"2353",NA
"2354",1
"2355",NA
"2356",0.333333333333333
"2357",NA
"2358",NA
"2359",NA
"2360",NA
"2361",NA
"2362",-1
"2363",0.333333333333333
"2364",-1
"2365",NA
"2366",NA
"2367",NA
"2368",-0.333333333333333
"2369",NA
"2370",NA
"2371",1
"2372",NA
"2373",NA
"2374",1
"2375",NA
"2376",NA
"2377",1
"2378",1
"2379",-0.454545454545455
"2380",NA
"2381",0
"2382",1
"2383",0
"2384",NA
"2385",NA
"2386",1
"2387",0
"2388",NA
"2389",NA
"2390",1
"2391",1
"2392",-1
"2393",1
"2394",1
"2395",1
"2396",-1
"2397",NA
"2398",NA
"2399",1
"2400",-0.333333333333333
"2401",NA
"2402",-1
"2403",-0.333333333333333
"2404",NA
"2405",NA
"2406",-0.428571428571429
"2407",1
"2408",NA
"2409",1
"2410",NA
"2411",NA
"2412",NA
"2413",0.4
"2414",NA
"2415",1
"2416",NA
"2417",NA
"2418",1
"2419",NA
"2420",NA
"2421",NA
"2422",NA
"2423",NA
"2424",NA
"2425",0.2
"2426",1
"2427",NA
"2428",NA
"2429",NA
"2430",NA
"2431",NA
"2432",NA
"2433",NA
"2434",NA
"2435",NA
"2436",-1
"2437",NA
"2438",1
"2439",NA
"2440",NA
"2441",NA
"2442",NA
"2443",NA
"2444",NA
"2445",1
"2446",NA
"2447",1
"2448",NA
"2449",NA
"2450",NA
"2451",NA
"2452",NA
"2453",NA
"2454",NA
"2455",NA
"2456",NA
"2457",NA
"2458",NA
"2459",NA
"2460",1
"2461",1
"2462",NA
"2463",NA
"2464",NA
"2465",NA
"2466",NA
"2467",1
"2468",NA
"2469",NA
"2470",1
"2471",NA
"2472",NA
"2473",1
"2474",NA
"2475",0.333333333333333
"2476",0
"2477",NA
"2478",NA
"2479",NA
"2480",NA
"2481",NA
"2482",NA
"2483",-1
"2484",NA
"2485",NA
"2486",NA
"2487",NA
"2488",NA
"2489",-1
"2490",1
"2491",-1
"2492",1
"2493",NA
"2494",NA
"2495",NA
"2496",-0.333333333333333
"2497",-1
"2498",NA
"2499",1
"2500",NA
"2501",1
"2502",NA
"2503",NA
"2504",1
"2505",1
"2506",1
"2507",NA
"2508",-1
"2509",NA
"2510",NA
"2511",1
"2512",NA
"2513",-1
"2514",1
"2515",NA
"2516",1
"2517",NA
"2518",1
"2519",1
"2520",-1
"2521",1
"2522",NA
"2523",1
"2524",NA
"2525",0
"2526",1
"2527",NA
"2528",NA
"2529",-0.333333333333333
"2530",1
"2531",NA
"2532",1
"2533",NA
"2534",-1
"2535",1
"2536",-1
"2537",NA
"2538",NA
"2539",NA
"2540",NA
"2541",1
"2542",NA
"2543",NA
"2544",NA
"2545",NA
"2546",NA
"2547",1
"2548",0
"2549",1
"2550",0
"2551",NA
"2552",1
"2553",NA
"2554",NA
"2555",NA
"2556",1
"2557",NA
"2558",NA
"2559",1
"2560",NA
"2561",NA
"2562",1
"2563",NA
"2564",NA
"2565",NA
"2566",0
"2567",1
"2568",NA
"2569",0.333333333333333
"2570",NA
"2571",NA
"2572",NA
"2573",NA
"2574",NA
"2575",NA
"2576",NA
"2577",-1
"2578",NA
"2579",NA
"2580",NA
"2581",NA
"2582",NA
"2583",-0.5
"2584",-1
"2585",0
"2586",0.333333333333333
"2587",NA
"2588",NA
"2589",NA
"2590",0
"2591",NA
"2592",NA
"2593",1
"2594",NA
"2595",NA
"2596",NA
"2597",1
"2598",-1
"2599",1
"2600",NA
"2601",NA
"2602",NA
"2603",NA
"2604",1
"2605",NA
"2606",1
"2607",-1
"2608",1
"2609",1
"2610",1
"2611",-1
"2612",NA
"2613",0
"2614",-1
"2615",NA
"2616",NA
"2617",NA
"2618",-0.333333333333333
"2619",1
"2620",NA
"2621",NA
"2622",1
"2623",NA
"2624",1
"2625",1
"2626",NA
"2627",1
"2628",NA
"2629",0.333333333333333
"2630",NA
"2631",-0.25
"2632",NA
"2633",1
"2634",NA
"2635",NA
"2636",NA
"2637",NA
"2638",NA
"2639",-0.5
"2640",1
"2641",NA
"2642",-1
"2643",NA
"2644",0.333333333333333
"2645",NA
"2646",-1
"2647",NA
"2648",NA
"2649",0
"2650",-1
"2651",NA
"2652",NA
"2653",NA
"2654",1
"2655",1
"2656",NA
"2657",NA
"2658",NA
"2659",NA
"2660",NA
"2661",NA
"2662",-1
"2663",NA
"2664",NA
"2665",1
"2666",1
"2667",NA
"2668",0.333333333333333
"2669",NA
"2670",1
"2671",NA
"2672",NA
"2673",1
"2674",NA
"2675",NA
"2676",NA
"2677",1
"2678",1
"2679",1
"2680",1
"2681",NA
"2682",1
"2683",NA
"2684",-0.333333333333333
"2685",NA
"2686",NA
"2687",-0.5
"2688",NA
"2689",1
"2690",NA
"2691",0.428571428571429
"2692",1
"2693",1
"2694",NA
"2695",-1
"2696",1
"2697",NA
"2698",NA
"2699",0.333333333333333
"2700",0.25
"2701",1
"2702",NA
"2703",-1
"2704",NA
"2705",1
"2706",NA
"2707",1
"2708",1
"2709",-1
"2710",NA
"2711",NA
"2712",NA
"2713",NA
"2714",1
"2715",NA
"2716",NA
"2717",NA
"2718",NA
"2719",-0.333333333333333
"2720",NA
"2721",NA
"2722",NA
"2723",0.333333333333333
"2724",-1
"2725",NA
"2726",1
"2727",NA
"2728",NA
"2729",-1
"2730",NA
"2731",NA
"2732",NA
"2733",NA
"2734",NA
"2735",NA
"2736",NA
"2737",NA
"2738",1
"2739",-1
"2740",1
"2741",0
"2742",1
"2743",-1
"2744",NA
"2745",1
"2746",NA
"2747",NA
"2748",-0.333333333333333
"2749",-0.578947368421053
"2750",1
"2751",-1
"2752",1
"2753",0.5
"2754",1
"2755",NA
"2756",0.333333333333333
"2757",1
"2758",NA
"2759",1
"2760",NA
"2761",0
"2762",0.2
"2763",NA
"2764",NA
"2765",0.333333333333333
"2766",NA
"2767",NA
"2768",-1
"2769",1
"2770",1
"2771",0.333333333333333
"2772",NA
"2773",-1
"2774",-0.6
"2775",1
"2776",1
"2777",1
"2778",-1
"2779",NA
"2780",NA
"2781",0.333333333333333
"2782",NA
"2783",NA
"2784",-1
"2785",1
"2786",1
"2787",-0.2
"2788",0.428571428571429
"2789",NA
"2790",1
"2791",NA
"2792",NA
"2793",0.714285714285714
"2794",0.5
"2795",-0.333333333333333
"2796",1
"2797",0.6
"2798",1
"2799",NA
"2800",NA
"2801",0.652173913043478
"2802",0.6
"2803",0.6
"2804",NA
"2805",1
"2806",1
"2807",NA
"2808",NA
"2809",NA
"2810",0
"2811",0.6
"2812",1
"2813",NA
"2814",NA
"2815",0.2
"2816",-0.733333333333333
"2817",1
"2818",1
"2819",-1
"2820",0.68
"2821",NA
"2822",1
"2823",0.333333333333333
"2824",1
"2825",-1
"2826",1
"2827",1
"2828",-1
"2829",1
"2830",-0.333333333333333
"2831",1
"2832",1
"2833",NA
"2834",1
"2835",1
"2836",NA
"2837",NA
"2838",1
"2839",NA
"2840",NA
"2841",NA
"2842",NA
"2843",NA
"2844",1
"2845",NA
"2846",NA
"2847",NA
"2848",1
"2849",-1
"2850",0
"2851",NA
"2852",1
"2853",1
"2854",-0.5
"2855",NA
"2856",NA
"2857",NA
"2858",NA
"2859",1
"2860",1
"2861",1
"2862",NA
"2863",NA
"2864",0
"2865",NA
"2866",-1
"2867",-0.5
"2868",0
"2869",1
"2870",NA
"2871",NA
"2872",0.666666666666667
"2873",0.333333333333333
"2874",1
"2875",0.777777777777778
"2876",NA
"2877",NA
"2878",NA
"2879",NA
"2880",0.5
"2881",NA
"2882",-0.333333333333333
"2883",1
"2884",0
"2885",1
"2886",NA
"2887",NA
"2888",1
"2889",NA
"2890",NA
"2891",NA
"2892",NA
"2893",NA
"2894",1
"2895",NA
"2896",1
"2897",NA
"2898",NA
"2899",NA
"2900",-0.125
"2901",NA
"2902",1
"2903",1
"2904",1
"2905",1
"2906",1
"2907",NA
"2908",-1
"2909",1
"2910",NA
"2911",1
"2912",0
"2913",NA
"2914",-0.142857142857143
"2915",-0.454545454545455
"2916",NA
"2917",1
"2918",NA
"2919",-1
"2920",NA
"2921",NA
"2922",1
"2923",0.333333333333333
"2924",NA
"2925",NA
"2926",0.384615384615385
"2927",NA
"2928",1
"2929",NA
"2930",NA
"2931",NA
"2932",NA
"2933",1
"2934",NA
"2935",1
"2936",NA
"2937",NA
"2938",NA
"2939",NA
"2940",NA
"2941",0.333333333333333
"2942",0.5
"2943",1
"2944",NA
"2945",NA
"2946",NA
"2947",0.6
"2948",0
"2949",NA
"2950",0.375
"2951",1
"2952",NA
"2953",1
"2954",NA
"2955",NA
"2956",0.333333333333333
"2957",NA
"2958",1
"2959",0
"2960",NA
"2961",NA
"2962",1
"2963",NA
"2964",1
"2965",1
"2966",-0.6
"2967",NA
"2968",NA
"2969",NA
"2970",0.5
"2971",1
"2972",1
"2973",1
"2974",1
"2975",NA
"2976",NA
"2977",NA
"2978",1
"2979",1
"2980",1
"2981",1
"2982",1
"2983",0
"2984",1
"2985",NA
"2986",NA
"2987",NA
"2988",1
"2989",-1
"2990",NA
"2991",1
"2992",-1
"2993",0.333333333333333
"2994",0.666666666666667
"2995",NA
"2996",NA
"2997",NA
"2998",NA
"2999",NA
"3000",1
"3001",0.0769230769230769
"3002",1
"3003",0
"3004",NA
"3005",1
"3006",1
"3007",NA
"3008",0.764705882352941
"3009",1
"3010",0.75
"3011",1
"3012",NA
"3013",1
"3014",0.846153846153846
"3015",1
"3016",NA
"3017",0
"3018",1
"3019",1
"3020",NA
"3021",1
"3022",1
"3023",1
"3024",NA
"3025",NA
"3026",1
"3027",NA
"3028",NA
"3029",1
"3030",NA
"3031",0.666666666666667
"3032",1
"3033",NA
"3034",NA
"3035",NA
"3036",NA
"3037",1
"3038",0.714285714285714
"3039",0.6
"3040",0.6
"3041",NA
"3042",1
"3043",1
"3044",NA
"3045",1
"3046",1
"3047",NA
"3048",NA
"3049",NA
"3050",NA
"3051",NA
"3052",1
"3053",1
"3054",0.333333333333333
"3055",0
"3056",0.5
"3057",NA
"3058",NA
"3059",NA
"3060",NA
"3061",1
"3062",NA
"3063",1
"3064",NA
"3065",0.142857142857143
"3066",NA
"3067",0.6
"3068",NA
"3069",NA
"3070",0.333333333333333
"3071",1
"3072",0
"3073",0.636363636363636
"3074",1
"3075",1
"3076",1
"3077",1
"3078",-0.333333333333333
"3079",1
"3080",NA
"3081",NA
"3082",1
"3083",NA
"3084",1
"3085",1
"3086",NA
"3087",1
"3088",NA
"3089",1
"3090",1
"3091",NA
"3092",NA
"3093",NA
"3094",NA
"3095",0.466666666666667
"3096",NA
"3097",0.75
"3098",0.857142857142857
"3099",NA
"3100",NA
"3101",NA
"3102",0.6
"3103",1
"3104",NA
"3105",NA
"3106",NA
"3107",NA
"3108",NA
"3109",NA
"3110",1
"3111",NA
"3112",0.882352941176471
"3113",-1
"3114",1
"3115",1
"3116",NA
"3117",NA
"3118",1
"3119",0.6
"3120",1
"3121",NA
"3122",NA
"3123",1
"3124",1
"3125",1
"3126",NA
"3127",1
"3128",NA
"3129",1
"3130",1
"3131",NA
"3132",1
"3133",NA
"3134",NA
"3135",1
"3136",1
"3137",NA
"3138",1
"3139",NA
"3140",NA
"3141",NA
"3142",0
"3143",NA
"3144",0.833333333333333
"3145",NA
"3146",NA
"3147",0.777777777777778
"3148",NA
"3149",NA
"3150",1
"3151",1
"3152",NA
"3153",NA
"3154",0.714285714285714
"3155",1
"3156",NA
"3157",1
"3158",NA
"3159",1
"3160",NA
"3161",NA
"3162",1
"3163",NA
"3164",0.777777777777778
"3165",NA
"3166",0
"3167",NA
"3168",1
"3169",NA
"3170",NA
"3171",NA
"3172",NA
"3173",1
"3174",NA
"3175",0.777777777777778
"3176",NA
"3177",NA
"3178",1
"3179",NA
"3180",1
"3181",NA
"3182",NA
"3183",1
"3184",NA
"3185",1
"3186",1
"3187",0.333333333333333
"3188",1
"3189",NA
"3190",NA
"3191",1
"3192",NA
"3193",NA
"3194",NA
"3195",NA
"3196",NA
"3197",NA
"3198",1
"3199",NA
"3200",NA
"3201",NA
"3202",1
"3203",NA
"3204",1
"3205",1
"3206",1
"3207",0.333333333333333
"3208",NA
"3209",0
"3210",1
"3211",NA
"3212",1
"3213",NA
"3214",NA
"3215",NA
"3216",1
"3217",1
"3218",NA
"3219",1
"3220",NA
"3221",-0.2
"3222",1
"3223",0.666666666666667
"3224",0.6
"3225",0.818181818181818
"3226",0
"3227",NA
"3228",NA
"3229",NA
"3230",1
"3231",NA
"3232",NA
"3233",NA
"3234",NA
"3235",NA
"3236",NA
"3237",NA
"3238",NA
"3239",NA
"3240",NA
"3241",NA
"3242",1
"3243",NA
"3244",NA
"3245",NA
"3246",NA
"3247",1
"3248",NA
"3249",NA
"3250",1
"3251",1
"3252",NA
"3253",1
"3254",NA
"3255",0
"3256",NA
"3257",NA
"3258",NA
"3259",1
"3260",NA
"3261",1
"3262",1
"3263",NA
"3264",1
"3265",NA
"3266",0.333333333333333
"3267",0.6
"3268",1
"3269",NA
"3270",1
"3271",NA
"3272",1
"3273",NA
"3274",NA
"3275",NA
"3276",0.333333333333333
"3277",NA
"3278",NA
"3279",0.75
"3280",NA
"3281",1
"3282",1
"3283",-1
"3284",1
"3285",NA
"3286",1
"3287",0
"3288",-1
"3289",0
"3290",0.333333333333333
"3291",NA
"3292",NA
"3293",NA
"3294",0.666666666666667
"3295",0
"3296",NA
"3297",1
"3298",1
"3299",0.142857142857143
"3300",NA
"3301",1
"3302",0
"3303",0
"3304",NA
"3305",1
"3306",NA
"3307",NA
"3308",0.5
"3309",1
"3310",-1
"3311",1
"3312",-0.0909090909090909
"3313",-1
"3314",NA
"3315",NA
"3316",0.75
"3317",0.6
"3318",0.333333333333333
"3319",1
"3320",1
"3321",NA
"3322",0.5
"3323",1
"3324",NA
"3325",NA
"3326",NA
"3327",-1
"3328",1
"3329",NA
"3330",1
"3331",-1
"3332",NA
"3333",NA
"3334",NA
"3335",1
"3336",0
"3337",NA
"3338",1
"3339",1
"3340",1
"3341",NA
"3342",1
"3343",0
"3344",NA
"3345",1
"3346",NA
"3347",-0.333333333333333
"3348",1
"3349",1
"3350",0.333333333333333
"3351",1
"3352",NA
"3353",1
"3354",-1
"3355",-1
"3356",-0.333333333333333
"3357",NA
"3358",1
"3359",NA
"3360",-0.25
"3361",1
"3362",0.5
"3363",NA
"3364",NA
"3365",1
"3366",1
"3367",0
"3368",1
"3369",-1
"3370",1
"3371",1
"3372",1
"3373",1
"3374",1
"3375",NA
"3376",1
"3377",NA
"3378",1
"3379",1
"3380",NA
"3381",NA
"3382",NA
"3383",NA
"3384",-0.333333333333333
"3385",1
"3386",-1
"3387",-0.166666666666667
"3388",NA
"3389",NA
"3390",NA
"3391",1
"3392",1
"3393",1
"3394",1
"3395",NA
"3396",NA
"3397",NA
"3398",NA
"3399",NA
"3400",NA
"3401",NA
"3402",1
"3403",1
"3404",1
"3405",NA
"3406",-1
"3407",NA
"3408",1
"3409",1
"3410",-1
"3411",NA
"3412",1
"3413",1
"3414",-1
"3415",NA
"3416",NA
"3417",NA
"3418",1
"3419",NA
"3420",NA
"3421",1
"3422",1
"3423",1
"3424",0
"3425",NA
"3426",1
"3427",1
"3428",NA
"3429",0
"3430",-1
"3431",-1
"3432",-1
"3433",1
"3434",-0.333333333333333
"3435",0.666666666666667
"3436",1
"3437",1
"3438",-1
"3439",NA
"3440",0
"3441",-1
"3442",-1
"3443",NA
"3444",NA
"3445",NA
"3446",0.5
"3447",-0.2
"3448",NA
"3449",-1
"3450",-0.333333333333333
"3451",NA
"3452",-0.333333333333333
"3453",NA
"3454",NA
"3455",NA
"3456",1
"3457",-0.2
"3458",NA
"3459",NA
"3460",0
"3461",0
"3462",-0.333333333333333
"3463",0.714285714285714
"3464",0
"3465",NA
"3466",0
"3467",NA
"3468",1
"3469",0
"3470",0.5
"3471",NA
"3472",1
"3473",0.333333333333333
"3474",0.6
"3475",-0.2
"3476",NA
"3477",0.428571428571429
"3478",0.6
"3479",0.6
"3480",NA
"3481",NA
"3482",NA
"3483",0
"3484",1
"3485",0.428571428571429
"3486",1
"3487",1
"3488",NA
"3489",1
"3490",1
